---------------------------------------------------------------------------------------
                    RDMA_Write Latency Test
 Dual-port       : OFF		Device         : [DEV]
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: OFF
 ibv_wr* API     : ON
 TX depth        : 1
 Mtu             : 1024[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 220[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01d8 PSN 0x655412
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
 remote address: LID 0000 QPN 0x01d9 PSN 0x15fa8c
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          2.73           5.99         2.76     	       2.77        	0.07   		2.87    		5.99   
 4       1000          2.74           4.18         2.77     	       2.78        	0.08   		3.20    		4.18   
 8       1000          2.73           4.15         2.76     	       2.76        	0.04   		2.79    		4.15   
 16      1000          2.74           3.96         2.77     	       2.77        	0.05   		2.95    		3.96   
 32      1000          2.78           6.65         2.81     	       2.82        	0.13   		2.87    		6.65   
 64      1000          2.77           4.12         2.80     	       2.80        	0.04   		2.83    		4.12   
 128     1000          2.85           3.55         2.89     	       2.89        	0.01   		2.91    		3.55   
 256     1000          3.28           4.44         3.33     	       3.34        	0.06   		3.51    		4.44   
 512     1000          3.44           4.26         3.48     	       3.50        	0.06   		3.67    		4.26   
 1024    1000          3.52           4.52         3.57     	       3.60        	0.06   		3.76    		4.52   
 2048    1000          3.65           4.57         3.90     	       3.90        	0.03   		3.91    		4.57   
 4096    1000          3.80           5.70         3.90     	       3.90        	0.08   		3.95    		5.70   
 8192    1000          4.40           6.18         4.46     	       4.53        	0.11   		4.80    		6.18   
 16384   1000          5.04           6.52         5.17     	       5.20        	0.11   		5.44    		6.52   
 32768   1000          6.53           7.66         6.69     	       6.69        	0.11   		6.95    		7.66   
 65536   1000          9.52           11.57        9.74     	       9.73        	0.07   		9.90    		11.57  
 131072  1000          15.42          16.61        15.60    	       15.60       	0.06   		15.69   		16.61  
 262144  1000          27.24          28.57        27.30    	       27.31       	0.05   		27.50   		28.57  
 524288  1000          50.91          53.54        51.08    	       51.09       	0.14   		51.42   		53.54  
 1048576 1000          98.30          100.07       98.72    	       98.73       	0.18   		99.14   		100.07 
 2097152 1000          193.12         196.03       193.45   	       193.49      	0.23   		194.06  		196.03 
 4194304 1000          382.90         386.80       383.29   	       383.35      	0.26   		384.13  		386.80 
 8388608 1000          761.77         763.48       762.38   	       762.43      	0.30   		763.17  		763.48 
---------------------------------------------------------------------------------------
