---------------------------------------------------------------------------------------
                    Send Latency Test
 Dual-port       : OFF		Device         : [DEV]
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON
 ibv_wr* API     : ON
 TX depth        : 1
 Mtu             : 1024[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 236[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x048b PSN 0x525c35
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
 remote address: LID 0000 QPN 0x05b4 PSN 0xc8ed29
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          5.10           10.79        5.23     	       5.24        	0.05   		5.42    		10.79  
 4       1000          5.13           6.33         5.24     	       5.24        	0.05   		5.33    		6.33   
 8       1000          5.09           6.23         5.24     	       5.24        	0.04   		5.32    		6.23   
 16      1000          5.13           6.23         5.25     	       5.25        	0.04   		5.33    		6.23   
 32      1000          5.14           8.29         5.26     	       5.26        	0.08   		5.35    		8.29   
 64      1000          5.21           6.45         5.32     	       5.32        	0.06   		5.41    		6.45   
 128     1000          5.31           6.93         5.53     	       5.52        	0.11   		5.70    		6.93   
 256     1000          5.77           7.12         5.90     	       5.91        	0.06   		6.13    		7.12   
 512     1000          5.86           6.94         6.02     	       6.03        	0.07   		6.25    		6.94   
 1024    1000          5.99           7.15         6.11     	       6.13        	0.09   		6.44    		7.15   
 2048    1000          6.08           7.32         6.22     	       6.24        	0.09   		6.44    		7.32   
 4096    1000          6.25           10.21        6.40     	       6.43        	0.13   		6.81    		10.21  
 8192    1000          8.22           9.41         8.34     	       8.37        	0.10   		8.69    		9.41   
 16384   1000          8.74           14.18        8.88     	       8.93        	0.16   		9.44    		14.18  
 32768   1000          9.85           15.19        10.06    	       10.10       	0.16   		10.52   		15.19  
 65536   1000          12.86          14.08        13.12    	       13.13       	0.12   		13.39   		14.08  
 131072  1000          20.00          21.15        20.50    	       20.50       	0.16   		20.86   		21.15  
 262144  1000          35.05          41.65        35.90    	       35.91       	0.33   		36.71   		41.65  
 524288  1000          65.02          67.34        66.24    	       66.24       	0.30   		66.92   		67.34  
 1048576 1000          126.18         133.09       127.44   	       127.45      	0.46   		128.76  		133.09 
 2097152 1000          247.45         253.18       249.53   	       249.46      	0.69   		251.06  		253.18 
 4194304 1000          488.97         496.28       493.69   	       493.42      	1.49   		495.69  		496.28 
 8388608 1000          976.53         988.26       984.13   	       983.07      	2.89   		987.65  		988.26 
---------------------------------------------------------------------------------------
