---------------------------------------------------------------------------------------
                    Send Latency Test
 Dual-port       : OFF		Device         : [DEV]
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON
 ibv_wr* API     : ON
 TX depth        : 1
 Mtu             : 1024[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 236[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x3bc4 PSN 0x44f316
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
 remote address: LID 0000 QPN 0x3ced PSN 0xe9c472
 GID: 00:00:00:00:00:00:00:00:00:00:[IP]
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          21.55          23.38        22.02    	       22.02       	0.16   		22.44   		23.38  
 4       1000          21.61          23.43        22.01    	       22.02       	0.16   		22.47   		23.43  
 8       1000          21.61          22.90        22.02    	       22.02       	0.15   		22.40   		22.90  
 16      1000          21.58          23.27        22.02    	       22.03       	0.16   		22.42   		23.27  
 32      1000          21.57          31.05        22.02    	       22.03       	0.17   		22.45   		31.05  
 64      1000          21.55          23.79        22.10    	       22.11       	0.16   		22.54   		23.79  
 128     1000          21.59          35.77        22.26    	       22.26       	0.20   		22.77   		35.77  
 256     1000          22.17          23.43        22.68    	       22.69       	0.17   		23.09   		23.43  
 512     1000          22.23          23.69        22.83    	       22.83       	0.17   		23.28   		23.69  
 1024    1000          22.29          24.53        22.93    	       22.93       	0.19   		23.45   		24.53  
 2048    1000          22.73          28.25        23.23    	       23.24       	0.19   		23.74   		28.25  
 4096    1000          22.84          34.82        23.39    	       23.40       	0.18   		23.86   		34.82  
 8192    1000          37.29          38.89        37.78    	       37.79       	0.20   		38.33   		38.89  
 16384   1000          37.55          39.74        38.14    	       38.16       	0.22   		38.77   		39.74  
 32768   1000          38.39          40.70        38.97    	       38.98       	0.22   		39.56   		40.70  
 65536   1000          54.43          56.94        55.72    	       55.71       	0.34   		56.46   		56.94  
 131072  1000          71.34          76.18        73.85    	       73.77       	0.66   		74.91   		76.18  
 262144  1000          114.02         124.51       117.12   	       118.59      	2.92   		123.82  		124.51 
 524288  1000          205.93         227.40       218.51   	       217.70      	4.57   		226.72  		227.40 
 1048576 1000          384.17         429.87       416.93   	       413.44      	12.19  		428.62  		429.87 
 2097152 1000          739.29         828.16       810.95   	       798.11      	28.03  		826.21  		828.16 
 4194304 1000          1445.93        4386.84      1615.04  	       1595.20     	79.23  		1977.34 		4386.84
 8388608 1000          3018.83        7577.18      3344.20  	       3468.77     	466.73 		5284.30 		7577.18
---------------------------------------------------------------------------------------
